Author Age,Author Comment Karma,Author Link Karma,Avg Comment Brand Count,Avg Comment Sentiment,Title Brands,Title Seniment,Label
1788.078196749687,46501,66881,0.058823529411764705,0.0,0,0,0
970.7862502955369,72097,106371,24.686274509803923,-9.019607843137255,0,0,0
2294.2439696872925,253,5294,26.095238095238095,18.904761904761905,0,0,1
1195.4568014473193,113492,19801,1086.6190476190477,120.19047619047619,2,0,1
1056.7444896652632,62113,26595,25.523809523809526,-755.7142857142857,1,0,1
1749.188673250482,317128,922995,3.689655172413793,-4.206896551724138,0,0,0
3734.224575997795,2506,10479,195.14285714285714,381.23809523809524,1,0,1
88.85089281525877,1507,108432,34.705882352941174,-4.098039215686274,0,0,0
487.5506015240484,53,1253,-0.25,-3.0357142857142856,0,0,0
462.77601172967087,9064,3967,5.294117647058823,-0.6274509803921569,0,-1,0
1360.0694889207625,127781,96862,0.11764705882352941,10.431372549019608,0,0,0
2042.2365305308888,11611,19653,1.3125,1.03125,0,0,0
2399.6863203067664,29,1588,1.3571428571428572,-1.5714285714285714,0,0,0
1152.152889164242,666,5996,0.35294117647058826,-12.352941176470589,0,1,0
2999.5317178945547,612949,1405102,41.61904761904762,-33.95238095238095,3,0,1
522.1599027652652,1463,4532,0.29411764705882354,-7.431372549019608,0,-1,0
1842.5830599768847,6175,5243,87.95238095238095,562.952380952381,0,1,1
543.3678953981455,13099,8147,1561.952380952381,-510.3333333333333,1,0,1
37.387256243847034,4493,6020,2.0714285714285716,0.42857142857142855,0,0,0
348.3401202170882,588,3231,35.857142857142854,29.857142857142858,1,1,1
950.5475031130926,31824,11061,173.76190476190476,-153.76190476190476,5,1,1
1804.032681088787,4883,8206,518.2857142857143,114.0,1,-1,1
3403.9701286783734,221791,540671,58.23809523809524,-56.523809523809526,1,0,1
1599.109513133927,111665,18060,290.76190476190476,47.476190476190474,2,0,1
1281.3372793837168,43283,495618,67.04761904761905,-126.80952380952381,0,0,1
2268.4340561727104,5069,14800,0.7142857142857143,-0.3333333333333333,2,0,1
714.1244413800648,3466,4499,2.3529411764705883,1.4705882352941178,1,0,0
707.8022503562493,33764,17940,1.6274509803921569,93.66666666666667,0,0,0
2132.11642844629,10594,12337,846.4285714285714,-8.571428571428571,3,0,1
1264.8434143008953,922240,20615600,2.0476190476190474,42.142857142857146,0,0,1
482.2513218811182,9,1801,1.2439024390243902,9.951219512195122,0,0,0
516.3692761318938,3610,11493,0.0,-10.444444444444445,0,0,0
295.62935867871124,438,1260,25.238095238095237,3.9047619047619047,0,0,1
1485.1937882202753,8217,8446,16.714285714285715,107.9047619047619,2,0,1
1498.3695965690579,46921,136492,196.41176470588235,42.1764705882353,0,0,0
4323.128130799816,84399,7555556,276.0,100.28571428571429,2,0,1
8.196825211823539,2948,14295,2.823529411764706,164.72549019607843,0,0,0
1360.4697085991613,106022,280747,0.0,-204.76470588235293,0,0,0
320.3918232047089,9043,17859,59.904761904761905,14.333333333333334,1,0,1
1956.41411983631,13873,22764,0.7254901960784313,14.117647058823529,0,0,0
431.4704323976349,14,5483,1.7058823529411764,-0.5490196078431373,0,0,0
592.4704096166845,97450,23477,0.0,-7.533333333333333,1,0,0
96.16208281890385,-30,1767,0.9523809523809523,-2.761904761904762,0,0,1
1300.316068010598,169,1850,0.7567567567567568,-0.35135135135135137,0,0,0
328.6899434198053,2651,19422,8.666666666666666,1.5714285714285714,1,0,1
921.6280130867522,73453,4810817,15.428571428571429,99.57142857142857,1,1,1
1844.8129927842842,89990,43914,131.57142857142858,-230.47619047619048,3,0,1
632.591658433502,479,6759,48.19047619047619,64.71428571428571,2,0,1
